Row Labels,St James Park,San Jose City Hall,MLK Library,SJSU - San Salvador at 9th,SJSU 4th at San Carlos,Paseo de San Antonio,San Salvador at 1st,San Jose Civic Center,Adobe on Almaden,San Jose Diridon Caltrain Station,Arena Green / SAP Center,Santa Clara at Almaden,San Pedro Square,Japantown
St James Park,22,16,13,7,20,17,13,12,8,141,4,5,53,26
San Jose City Hall,14,58,72,25,34,56,194,24,25,130,2,14,32,38
MLK Library,17,42,60,89,25,46,34,21,12,58,8,14,31,58
SJSU - San Salvador at 9th,9,24,56,41,85,65,33,11,3,105,11,8,22,11
SJSU 4th at San Carlos,23,25,29,81,35,23,33,7,7,20,2,59,21,20
Paseo de San Antonio,25,34,51,68,22,35,68,20,16,191,12,27,46,103
San Salvador at 1st,6,41,190,33,43,42,57,19,4,78,12,12,33,14
San Jose Civic Center,6,18,23,17,5,12,16,81,15,79,15,13,25,9
Adobe on Almaden,5,9,21,2,6,16,4,22,31,180,8,7,13,6
San Jose Diridon Caltrain Station,124,134,119,103,35,232,71,74,175,68,17,402,298,103
Arena Green / SAP Center,5,6,2,8,6,18,8,7,9,9,65,113,66,11
Santa Clara at Almaden,5,7,7,10,77,31,11,20,9,494,118,33,20,7
San Pedro Square,40,31,48,30,17,50,25,33,5,228,33,18,60,77
Japantown,20,41,47,12,17,54,25,15,7,20,15,48,65,84
