duration,start_time,start_stn,start_term,end_time,end_stn,end_term,bikenum,user,zipcode
152,2/1/14 1:16,Arena Green / SAP Center,14,2/1/14 1:18,Santa Clara at Almaden,4,663,Subscriber,95113
1392,2/1/14 8:11,St James Park,13,2/1/14 8:34,St James Park,13,108,Subscriber,95112
1315,2/1/14 8:12,St James Park,13,2/1/14 8:34,St James Park,13,705,Subscriber,95112
748,2/1/14 9:36,SJSU - San Salvador at 9th,16,2/1/14 9:49,San Jose Diridon Caltrain Station,2,301,Customer,95112
729,2/1/14 9:37,SJSU - San Salvador at 9th,16,2/1/14 9:49,San Jose Diridon Caltrain Station,2,130,Subscriber,95112
754,2/1/14 10:25,Santa Clara at Almaden,4,2/1/14 10:38,San Jose Diridon Caltrain Station,2,663,Subscriber,95113
244,2/1/14 11:47,SJSU - San Salvador at 9th,16,2/1/14 11:51,SJSU 4th at San Carlos,12,96,Subscriber,94044
492,2/1/14 12:18,San Jose Diridon Caltrain Station,2,2/1/14 12:26,Paseo de San Antonio,7,663,Subscriber,95113
276,2/1/14 13:38,San Pedro Square,6,2/1/14 13:43,Paseo de San Antonio,7,698,Subscriber,95113
3058,2/1/14 13:44,Arena Green / SAP Center,14,2/1/14 14:35,Arena Green / SAP Center,14,642,Customer,95110
3008,2/1/14 13:45,Arena Green / SAP Center,14,2/1/14 14:35,Arena Green / SAP Center,14,308,Customer,95110
387,2/1/14 13:55,San Jose Diridon Caltrain Station,2,2/1/14 14:02,San Salvador at 1st,8,143,Subscriber,95113
145,2/1/14 14:15,Paseo de San Antonio,7,2/1/14 14:17,MLK Library,11,59,Subscriber,95126
277,2/1/14 14:26,Paseo de San Antonio,7,2/1/14 14:31,San Pedro Square,6,698,Subscriber,95113
4593,2/1/14 15:05,Paseo de San Antonio,7,2/1/14 16:22,Paseo de San Antonio,7,86,Customer,95112
244,2/1/14 15:35,Santa Clara at Almaden,4,2/1/14 15:39,Arena Green / SAP Center,14,46,Subscriber,95113
1636,2/1/14 15:55,San Jose City Hall,10,2/1/14 16:23,San Pedro Square,6,21,Customer,95076
